treatment,generation,days_alive,status
+/+,F3,3,1
+/+,F3,7,1
+/+,F3,13,1
+/+,F3,14,1
+/+,F3,15,1
+/+,F3,16,1
+/+,F3,18,1
+/+,F3,19,1
+/+,F3,19,1
+/+,F3,21,1
+/+,F3,6,1
+/+,F3,12,1
+/+,F3,14,1
+/+,F3,15,1
+/+,F3,16,1
+/+,F3,16,1
+/+,F3,17,1
+/+,F3,19,1
+/+,F3,20,1
+/+,F3,21,1
+/+,F3,12,1
+/+,F3,17,1
+/+,F3,17,1
+/+,F3,18,1
+/+,F3,18,1
+/+,F3,19,1
+/+,F3,22,1
+/+,F3,22,1
+/+,F3,23,1
+/+,F3,25,1
+/+,F3,11,1
+/+,F3,13,1
+/+,F3,14,1
+/+,F3,15,1
+/+,F3,16,1
+/+,F3,16,1
+/+,F3,9,1
+/+,F3,10,1
+/+,F3,12,1
+/+,F3,14,1
+/+,F3,15,1
+/+,F3,16,1
+/+,F3,16,1
+/+,F3,18,1
+/+,F3,21,1
+/+,F3,21,1
+/+,F3,10,1
+/+,F3,15,1
+/+,F3,15,1
+/+,F3,15,1
+/+,F3,18,1
+/+,F3,19,1
+/+,F3,19,1
+/+,F3,20,1
+/+,F3,21,1
+/+,F3,21,1
+/+,F2,10,1
+/+,F2,11,1
+/+,F2,13,1
+/+,F2,15,1
+/+,F2,16,1
+/+,F2,18,1
+/+,F2,18,1
+/+,F2,18,1
+/+,F2,21,1
+/+,F2,16,1
+/+,F2,8,1
+/+,F2,10,1
+/+,F2,14,1
+/+,F2,18,1
+/+,F2,18,1
+/+,F2,18,1
+/+,F2,20,1
+/+,F2,20,1
+/+,F2,20,1
+/+,F2,25,1
+/+,F2,8,1
+/+,F2,12,1
+/+,F2,14,1
+/+,F2,17,1
+/+,F2,9,1
+/+,F2,16,1
+/+,F2,17,1
+/+,F2,20,1
+/+,F2,20,1
+/+,F2,25,1
+/+,F2,25,1
+/+,F2,25,1
+/+,F2,26,1
+/+,F2,31,1
+/+,F2,4,1
+/+,F2,11,1
+/+,F2,11,1
+/+,F2,13,1
+/+,F2,14,1
+/+,F2,14,1
+/+,F2,20,1
+/+,F2,25,1
+/+,F2,25,1
+/+,F2,25,1
+/+,F5,2,1
+/+,F5,3,1
+/+,F5,3,1
+/+,F5,3,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,3,1
+/+,F5,3,1
+/+,F5,3,1
+/+,F5,3,1
+/+,F5,3,1
+/+,F5,3,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,5,1
+/+,F5,2,1
+/+,F5,3,1
+/+,F5,3,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,3,1
+/+,F5,3,1
+/+,F5,3,1
+/+,F5,3,1
+/+,F5,3,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
+/+,F5,4,1
,,4,1
,,4,1
,,4,1
,,4,1
,,4,1
,,4,1
,,4,1
,,4,1
,,4,1
,,4,1
,,3,1
,,3,1
,,4,1
,,4,1
,,4,1
,,4,1
,,4,1
,,5,1
,,5,1
,,6,1
,,4,1
,,4,1
,,5,1
,,5,1
,,5,1
,,5,1
,,5,1
,,5,1
,,6,1
,,6,1
,,1,1
,,3,1
,,3,1
,,4,1
,,4,1
,,4,1
,,4,1
,,4,1
,,4,1
,,4,1
,,3,1
,,3,1
,,4,1
,,4,1
,,4,1
,,4,1
,,4,1
,,4,1
,,4,1
,,5,1
+/+,F3,10,1
+/+,F3,10,1
+/+,F3,11,1
+/+,F3,11,1
+/+,F3,12,1
+/+,F3,16,1
+/+,F3,17,1
+/+,F3,19,1
+/+,F3,20,1
+/+,F3,25,1
+/+,F3,3,1
+/+,F3,9,1
+/+,F3,11,1
+/+,F3,11,1
+/+,F3,13,1
+/+,F3,15,1
+/+,F3,16,1
+/+,F3,18,1
+/+,F3,20,1
+/+,F3,21,1
+/+,F3,2,1
+/+,F3,2,1
+/+,F3,3,1
+/+,F3,10,1
+/+,F3,11,1
+/+,F3,12,1
+/+,F3,14,1
+/+,F3,16,1
+/+,F3,20,1
+/+,F3,23,1
+/+,F3,1,1
+/+,F3,5,1
+/+,F3,8,1
+/+,F3,11,1
+/+,F3,11,1
+/+,F3,11,1
+/+,F3,11,1
+/+,F3,14,1
+/+,F3,15,1
+/+,F3,28,1
+/+,F3,4,1
+/+,F3,11,1
+/+,F3,11,1
+/+,F3,14,1
+/+,F3,15,1
+/+,F3,16,1
+/+,F3,22,1
+/+,F3,24,1
+/+,F3,26,1
+/+,F3,29,1
+/+,F2,14,1
+/+,F2,15,1
+/+,F2,15,1
+/+,F2,16,1
+/+,F2,16,1
+/+,F2,18,1
+/+,F2,19,1
+/+,F2,19,1
+/+,F2,21,1
+/+,F2,22,1
+/+,F2,9,1
+/+,F2,14,1
+/+,F2,14,1
+/+,F2,15,1
+/+,F2,17,1
+/+,F2,20,1
+/+,F2,21,1
+/+,F2,22,1
+/+,F2,23,1
+/+,F2,31,1
+/+,F2,4,1
+/+,F2,16,1
+/+,F2,16,1
+/+,F2,16,1
+/+,F2,21,1
+/+,F2,22,1
+/+,F2,22,1
+/+,F2,22,1
+/+,F2,24,1
+/+,F2,29,1
+/+,F2,4,1
+/+,F2,8,1
+/+,F2,8,1
+/+,F2,11,1
+/+,F2,15,1
+/+,F2,15,1
+/+,F2,16,1
+/+,F2,20,1
+/+,F2,25,1
+/+,F2,26,1
+/+,F2,10,1
+/+,F2,14,1
+/+,F2,16,1
+/+,F2,18,1
+/+,F2,20,1
+/+,F2,21,1
+/+,F2,22,1
+/+,F2,23,1
+/+,F2,25,1
+/+,F2,26,1
+/+,F5,4,1
+/+,F5,7,1
+/+,F5,7,1
+/+,F5,7,1
+/+,F5,7,1
+/+,F5,8,1
+/+,F5,8,1
+/+,F5,9,1
+/+,F5,9,1
+/+,F5,9,1
+/+,F5,5,1
+/+,F5,6,1
+/+,F5,7,1
+/+,F5,7,1
+/+,F5,7,1
+/+,F5,8,1
+/+,F5,8,1
+/+,F5,8,1
+/+,F5,9,1
+/+,F5,6,1
+/+,F5,6,1
+/+,F5,7,1
+/+,F5,7,1
+/+,F5,8,1
+/+,F5,8,1
+/+,F5,8,1
+/+,F5,8,1
+/+,F5,9,1
+/+,F5,9,1
+/+,F5,6,1
+/+,F5,6,1
+/+,F5,8,1
+/+,F5,8,1
+/+,F5,8,1
+/+,F5,9,1
+/+,F5,9,1
+/+,F5,9,1
+/+,F5,9,1
+/+,F5,10,1
+/+,F5,7,1
+/+,F5,7,1
+/+,F5,7,1
+/+,F5,7,1
+/+,F5,7,1
+/+,F5,8,1
+/+,F5,9,1
+/+,F5,9,1
+/+,F5,9,1
+/+,F5,9,1
,,6,1
,,7,1
,,7,1
,,8,1
,,8,1
,,9,1
,,9,1
,,9,1
,,10,1
,,5,1
,,6,1
,,6,1
,,7,1
,,7,1
,,7,1
,,7,1
,,7,1
,,8,1
,,9,1
,,6,1
,,6,1
,,6,1
,,7,1
,,7,1
,,8,1
,,8,1
,,9,1
,,9,1
,,9,1
,,4,1
,,6,1
,,6,1
,,7,1
,,8,1
,,8,1
,,9,1
,,9,1
,,9,1
,,10,1
,,4,1
,,7,1
,,7,1
,,7,1
,,7,1
,,7,1
,,7,1
,,8,1
,,8,1
,,9,1
set2/set2,F0,5,1
set2/set2,F0,9,1
set2/set2,F0,12,1
set2/set2,F0,12,1
set2/set2,F0,16,1
set2/set2,F0,18,1
set2/set2,F0,19,1
set2/set2,F0,19,1
set2/set2,F0,24,1
set2/set2,F0,6,1
set2/set2,F0,8,1
set2/set2,F0,12,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
set2/set2,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/set2,F1,13,1
+/set2,F1,16,1
+/set2,F1,18,1
+/set2,F1,18,1
+/set2,F1,19,1
+/set2,F1,19,1
+/set2,F1,20,1
set2/set2,F0,7,1
+/set2,F1,25,1
,,7,1
,,7,1
,,7,1
,,7,1
,,7,1
,,8,1
,,8,1
,,8,1
set2/set2,F0,8,1
set2/set2,F0,15,1
set2/set2,F0,17,1
set2/set2,F0,17,1
set2/set2,F0,18,1
set2/set2,F0,18,1
set2/set2,F0,18,1
set2/set2,F0,19,1
set2/set2,F0,21,1
set2/set2,F0,21,1
+/+,F0,7,1
set2/set2,F0,22,1
+/+,F0,4,1
+/+,F0,4,1
+/+,F0,4,1
+/+,F0,5,1
+/+,F0,5,1
+/+,F0,5,1
+/+,F0,6,1
+/+,F0,5,1
+/+,F0,5,1
+/+,F0,5,1
+/+,F0,5,1
+/+,F0,5,1
+/set2,F1,15,1
+/set2,F1,15,1
+/set2,F1,16,1
+/set2,F1,17,1
+/set2,F1,18,1
+/set2,F1,20,1
+/set2,F1,20,1
+/set2,F1,20,1
+/set2,F1,21,1
,,5,1
+/+,F0,7,1
+/+,F0,7,1
,,5,1
,,5,1
,,5,1
,,5,1
,,5,1
,,6,1
,,6,1
,,6,1
set2/set2,F0,19,1
set2/set2,F0,20,1
set2/set2,F0,20,1
set2/set2,F0,21,1
set2/set2,F0,21,1
set2/set2,F0,22,1
set2/set2,F0,22,1
set2/set2,F0,24,1
set2/set2,F0,25,1
+/+,F0,6,1
+/set2,F1,3,1
+/set2,F1,7,1
+/+,F0,6,1
+/+,F0,6,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,8,1
+/+,F0,8,1
+/set2,F1,3,1
+/set2,F1,11,1
+/set2,F1,15,1
+/set2,F1,21,1
+/set2,F1,23,1
+/set2,F1,24,1
+/set2,F1,24,1
+/set2,F1,24,1
,,7,1
,,8,1
,,8,1
set2/set2,F0,15,1
set2/set2,F0,17,1
set2/set2,F0,17,1
set2/set2,F0,21,1
set2/set2,F0,23,1
set2/set2,F0,23,1
set2/set2,F0,23,1
set2/set2,F0,25,1
+/set2,F1,12,1
+/+,F0,6,1
+/set2,F1,14,1
+/+,F0,7,1
+/+,F0,9,1
+/set2,F1,20,1
+/set2,F1,22,1
+/set2,F1,22,1
+/set2,F1,22,1
+/set2,F1,22,1
+/set2,F1,10,1
+/set2,F1,23,1
+/set2,F1,11,1
+/set2,F1,11,1
+/set2,F1,11,1
+/set2,F1,11,1
+/set2,F1,27,1
,,8,1
,,8,1
,,8,1
,,3,1
,,4,1
,,8,1
,,8,1
,,9,1
,,9,1
,,9,1
set2/set2,F0,16,1
set2/set2,F0,17,1
set2/set2,F0,19,1
,,3,1
set2/set2,F0,19,1
set2/set2,F0,21,1
set2/set2,F0,22,1
set2/set2,F0,23,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,8,1
+/+,F0,8,1
,,4,1
+/+,F0,8,1
+/set2,F1,16,1
+/set2,F1,17,1
+/set2,F1,17,1
+/set2,F1,19,1
+/set2,F1,20,1
+/set2,F1,20,1
+/set2,F1,21,1
+/set2,F1,24,1
,,8,1
,,8,1
,,8,1
,,8,1
,,8,1
,,8,1
,,8,1
,,8,1
set2/set2,F0,15,1
,,7,1
,,7,1
set2/set2,F0,15,1
set2/set2,F0,17,1
set2/set2,F0,18,1
set2/set2,F0,19,1
+/+,F0,5,1
+/+,F0,5,1
+/+,F0,6,1
+/+,F0,6,1
+/+,F0,6,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,10,1
+/set2,F1,13,1
+/set2,F1,14,1
+/set2,F1,16,1
+/set2,F1,20,1
+/set2,F1,21,1
,,5,1
set2/set2,F0,1,1
,,6,1
,,6,1
,,6,1
,,6,1
,,7,1
,,7,1
set2/set2,F0,13,1
,,7,1
set2/set2,F0,17,1
set2/set2,F0,17,1
set2/set2,F0,21,1
set2/set2,F0,21,1
set2/set2,F0,22,1
set2/set2,F0,23,1
set2/set2,F0,24,1
set2/set2,F0,25,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,8,1
+/+,F0,3,1
+/+,F0,4,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/set2,F1,21,1
+/set2,F1,23,1
+/set2,F1,23,1
+/set2,F1,24,1
+/set2,F1,24,1
+/+,F0,2,1
+/set2,F1,24,1
,,6,1
+/+,F0,6,1
,,7,1
,,7,1
,,7,1
,,7,1
set2/set2,F0,12,1
set2/set2,F0,19,1
set2/set2,F0,22,1
set2/set2,F0,23,1
set2/set2,F0,23,1
set2/set2,F0,24,1
set2/set2,F0,24,1
set2/set2,F0,26,1
set2/set2,F0,26,1
+/+,F0,7,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,9,1
+/+,F0,9,1
+/+,F0,9,1
+/+,F0,9,1
+/+,F0,10,1
+/set2,F1,17,1
+/set2,F1,20,1
+/set2,F1,20,1
+/set2,F1,21,1
+/set2,F1,22,1
+/set2,F1,25,1
+/set2,F1,4,1
+/set2,F1,9,1
+/set2,F1,26,1
+/set2,F1,27,1
,,7,1
+/set2,F1,17,1
,,7,1
,,7,1
,,8,1
,,8,1
,,8,1
,,8,1
,,8,1
,,9,1
+/set2,F1,3,1
set2/set2,F0,11,1
set2/set2,F0,12,1
set2/set2,F0,12,1
set2/set2,F0,13,1
set2/set2,F0,15,1
set2/set2,F0,18,1
set2/set2,F0,19,1
set2/set2,F0,20,1
set2/set2,F0,20,1
+/+,F0,6,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,8,1
+/set2,F1,14,1
+/set2,F1,16,1
+/set2,F1,16,1
+/set2,F1,18,1
+/set2,F1,20,1
+/set2,F1,20,1
+/set2,F1,20,1
+/set2,F1,20,1
+/set2,F1,21,1
,,3,1
+/set2,F1,21,1
,,7,1
,,7,1
,,8,1
,,8,1
,,8,1
,,8,1
,,8,1
,,8,1
,,4,1
,,8,1
,,5,1
set2/set2,F0,9,1
set2/set2,F0,15,1
set2/set2,F0,17,1
set2/set2,F0,19,1
set2/set2,F0,20,1
set2/set2,F0,20,1
set2/set2,F0,21,1
+/+,F0,5,1
+/+,F0,6,1
+/+,F0,6,1
+/+,F0,6,1
+/+,F0,6,1
+/+,F0,6,1
+/+,F0,6,1
+/+,F0,7,1
+/+,F0,7,1
+/set2,F1,15,1
+/set2,F1,15,1
+/set2,F1,16,1
+/set2,F1,17,1
+/set2,F1,18,1
+/set2,F1,20,1
,,4,1
,,5,1
,,5,1
,,6,1
,,6,1
,,4,1
,,6,1
,,6,1
set2/set2,F0,13,1
set2/set2,F0,17,1
set2/set2,F0,19,1
set2/set2,F0,22,1
,,2,1
set2/set2,F0,23,1
set2/set2,F0,4,1
set2/set2,F0,23,1
set2/set2,F0,24,1
set2/set2,F0,24,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
set2/set2,F0,3,1
set2/set2,F0,3,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,9,1
+/set2,F1,12,1
+/set2,F1,15,1
+/set2,F1,20,1
+/set2,F1,25,1
set2/set2,F0,9,1
,,5,1
,,5,1
,,6,1
,,6,1
,,8,1
,,8,1
,,8,1
,,10,1
set2/set2,F0,20,1
set2/set2,F0,23,1
set2/set2,F0,24,1
set2/set2,F0,24,1
set2/set2,F0,26,1
set2/set2,F0,28,1
+/+,F0,7,1
+/+,F0,7,1
set2/set2,F0,4,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,9,1
+/set2,F1,21,1
+/set2,F1,22,1
+/set2,F1,23,1
+/set2,F1,23,1
+/set2,F1,23,1
+/set2,F1,26,1
+/set2,F1,26,1
+/set2,F1,27,1
+/set2,F1,28,1
+/set2,F1,29,1
,,6,1
,,7,1
,,7,1
,,7,1
,,8,1
+/+,F0,6,1
+/+,F0,6,1
+/+,F0,7,1
,,8,1
,,8,1
set2/set2,F0,11,1
set2/set2,F0,15,1
set2/set2,F0,16,1
set2/set2,F0,19,1
set2/set2,F0,19,1
+/+,F0,7,1
set2/set2,F0,20,1
set2/set2,F0,20,1
set2/set2,F0,20,1
set2/set2,F0,27,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,3,1
+/+,F0,6,1
+/+,F0,6,1
+/+,F0,6,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/set2,F1,14,1
+/set2,F1,18,1
+/set2,F1,19,1
+/set2,F1,19,1
+/set2,F1,20,1
+/set2,F1,20,1
+/set2,F1,21,1
+/set2,F1,25,1
,,7,1
,,7,1
,,8,1
,,8,1
+/set2,F1,5,1
,,8,1
,,8,1
,,8,1
,,8,1
,,8,1
set2/set2,F0,10,1
+/set2,F1,10,1
set2/set2,F0,15,1
set2/set2,F0,18,1
set2/set2,F0,18,1
set2/set2,F0,22,1
set2/set2,F0,23,1
+/+,F0,6,1
+/set2,F1,3,1
+/set2,F1,11,1
+/+,F0,6,1
+/set2,F1,7,1
+/set2,F1,12,1
+/set2,F1,18,1
,,6,1
+/set2,F1,19,1
+/set2,F1,21,1
,,4,1
,,4,1
,,5,1
,,5,1
,,5,1
,,6,1
,,6,1
,,6,1
,,6,1
,,6,1
,,6,1
set2/set2,F0,10,1
set2/set2,F0,19,1
set2/set2,F0,20,1
set2/set2,F0,21,1
set2/set2,F0,8,1
set2/set2,F0,22,1
set2/set2,F0,25,1
set2/set2,F0,26,1
set2/set2,F0,27,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
set2/set2,F0,5,1
set2/set2,F0,12,1
set2/set2,F0,14,1
set2/set2,F0,14,1
set2/set2,F0,21,1
set2/set2,F0,23,1
set2/set2,F0,24,1
set2/set2,F0,24,1
set2/set2,F0,25,1
set2/set2,F0,27,1
set2/set2,F0,7,1
set2/set2,F0,10,1
set2/set2,F0,16,1
set2/set2,F0,16,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/set2,F1,21,1
+/set2,F1,21,1
+/set2,F1,22,1
+/set2,F1,22,1
+/set2,F1,22,1
+/set2,F1,23,1
+/set2,F1,24,1
,,7,1
set2/set2,F0,8,1
,,7,1
,,7,1
,,8,1
,,8,1
,,8,1
,,9,1
set2/set2,F0,18,1
set2/set2,F0,19,1
set2/set2,F0,19,1
set2/set2,F0,19,1
+/+,F0,5,1
+/+,F0,6,1
set2/set2,F0,22,1
+/+,F0,6,1
+/+,F0,7,1
set2/set2,F0,22,1
set2/set2,F0,22,1
+/+,F0,7,1
set2/set2,F0,22,1
set2/set2,F0,23,1
+/+,F0,5,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,9,1
+/set2,F1,10,1
+/set2,F1,16,1
+/set2,F1,17,1
+/set2,F1,17,1
+/set2,F1,21,1
,,7,1
+/+,F0,2,1
+/+,F0,6,1
,,7,1
,,8,1
+/+,F0,7,1
,,8,1
,,8,1
,,8,1
,,8,1
,,8,1
+/+,F0,6,1
+/+,F0,7,1
+/set2,F1,15,1
+/set2,F1,17,1
+/set2,F1,17,1
+/set2,F1,19,1
+/set2,F1,19,1
+/set2,F1,19,1
+/set2,F1,20,1
+/set2,F1,20,1
,,4,1
,,4,1
,,4,1
,,6,1
+/set2,F1,4,1
+/set2,F1,9,1
,,6,1
,,6,1
,,6,1
,,6,1
,,6,1
set2/set2,F0,10,1
set2/set2,F0,21,1
+/set2,F1,5,1
set2/set2,F0,24,1
set2/set2,F0,24,1
set2/set2,F0,24,1
set2/set2,F0,24,1
set2/set2,F0,25,1
set2/set2,F0,27,1
set2/set2,F0,28,1
+/+,F0,7,1
+/set2,F1,27,1
+/+,F0,7,1
+/+,F0,7,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
set2/set2,F0,17,1
+/set2,F1,11,1
set2/set2,F0,18,1
set2/set2,F0,18,1
set2/set2,F0,22,1
set2/set2,F0,23,1
set2/set2,F0,23,1
set2/set2,F0,24,1
set2/set2,F0,24,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/+,F0,8,1
+/set2,F1,4,1
+/+,F0,9,1
+/+,F0,9,1
+/set2,F1,18,1
+/set2,F1,18,1
,,6,1
+/set2,F1,19,1
+/set2,F1,21,1
+/set2,F1,25,1
+/set2,F1,25,1
,,6,1
,,6,1
,,6,1
,,6,1
,,3,1
,,6,1
,,6,1
,,6,1
,,8,1
+/set2,F1,13,1
+/set2,F1,15,1
+/set2,F1,15,1
+/set2,F1,15,1
+/set2,F1,15,1
+/set2,F1,16,1
,,7,1
+/set2,F1,16,1
+/set2,F1,17,1
+/set2,F1,18,1
+/set2,F1,19,1
+/set2,F1,22,1
,,6,1
set2/set2,F0,15,1
set2/set2,F0,17,1
set2/set2,F0,20,1
set2/set2,F0,23,1
set2/set2,F0,24,1
set2/set2,F0,18,1
set2/set2,F0,24,1
,,6,1
+/+,F0,6,1
+/+,F0,6,1
+/+,F0,6,1
+/+,F0,8,1
+/set2,F1,16,1
+/set2,F1,19,1
+/set2,F1,19,1
,,6,1
+/set2,F1,21,1
,,4,1
,,4,1
,,4,1
,,5,1
+/+,F4,3,1
+/+,F4,7,1
+/+,F4,13,1
+/+,F4,14,1
+/+,F4,15,1
+/+,F4,16,1
+/+,F4,18,1
+/+,F4,19,1
+/+,F4,19,1
+/+,F4,21,1
+/+,F4,6,1
+/+,F4,12,1
+/+,F4,14,1
+/+,F4,15,1
+/+,F4,16,1
+/+,F4,16,1
+/+,F4,17,1
+/+,F4,19,1
+/+,F4,20,1
+/+,F4,21,1
+/+,F4,12,1
+/+,F4,17,1
+/+,F4,17,1
+/+,F4,18,1
+/+,F4,18,1
+/+,F4,19,1
+/+,F4,22,1
+/+,F4,22,1
+/+,F4,23,1
+/+,F4,25,1
+/+,F4,11,1
+/+,F4,13,1
+/+,F4,14,1
+/+,F4,15,1
+/+,F4,16,1
+/+,F4,16,1
+/+,F4,9,1
+/+,F4,10,1
+/+,F4,12,1
+/+,F4,14,1
+/+,F4,15,1
+/+,F4,16,1
+/+,F4,16,1
+/+,F4,18,1
+/+,F4,19,1
+/+,F4,21,1
+/+,F4,10,1
+/+,F4,17,1
+/+,F4,15,1
+/+,F4,15,1
+/+,F4,18,1
+/+,F4,19,1
+/+,F4,19,1
+/+,F4,20,1
+/+,F4,21,1
+/+,F4,19,1
+/+,F4,10,1
+/+,F4,11,1
+/+,F4,13,1
+/+,F4,15,1
+/+,F4,16,1
+/+,F4,18,1
+/+,F4,18,1
+/+,F4,18,1
+/+,F4,21,1
+/+,F4,16,1
+/+,F4,8,1
+/+,F4,10,1
+/+,F4,14,1
+/+,F4,18,1
+/+,F4,17,1
+/+,F4,18,1
+/+,F4,21,1
+/+,F4,20,1
+/+,F4,20,1
+/+,F4,25,1
+/+,F4,8,1
+/+,F4,12,1
+/+,F4,14,1
+/+,F4,17,1
+/+,F4,9,1
+/+,F4,16,1
+/+,F4,17,1
+/+,F4,20,1
+/+,F4,20,1
+/+,F4,25,1
+/+,F4,25,1
+/+,F4,25,1
+/+,F4,26,1
+/+,F4,27,1
+/+,F4,4,1
+/+,F4,11,1
+/+,F4,11,1
+/+,F4,13,1
+/+,F4,15,1
+/+,F4,14,1
+/+,F4,20,1
+/+,F4,19,1
+/+,F4,25,1
+/+,F4,25,1
+/+,F4,2,1
+/+,F4,3,1
+/+,F4,3,1
+/+,F4,3,1
+/+,F4,4,1
+/+,F4,4,1
+/+,F4,3,1
+/+,F4,3,1
+/+,F4,4,1
+/+,F4,3,1
+/+,F4,3,1
+/+,F4,3,1
+/+,F4,3,1
+/+,F4,3,1
+/+,F4,3,1
+/+,F4,3,1
+/+,F4,4,1
+/+,F4,4,1
+/+,F4,4,1
+/+,F4,4,1
+/+,F4,4,1
+/+,F4,4,1
+/+,F4,4,1
+/+,F4,3,1
+/+,F4,4,1
+/+,F4,4,1
+/+,F4,3,1
+/+,F4,4,1
+/+,F4,3,1
+/+,F4,5,1
+/+,F4,2,1
+/+,F4,3,1
+/+,F4,3,1
+/+,F4,4,1
+/+,F4,4,1
+/+,F4,4,1
+/+,F4,4,1
+/+,F4,4,1
+/+,F4,4,1
+/+,F4,4,1
+/+,F4,3,1
+/+,F4,3,1
+/+,F4,3,1
+/+,F4,3,1
+/+,F4,3,1
+/+,F4,4,1
+/+,F4,4,1
+/+,F4,5,1
+/+,F4,3,1
+/+,F4,4,1
+/+,F4,10,1
+/+,F4,10,1
+/+,F4,9,1
+/+,F4,11,1
+/+,F4,14,1
+/+,F4,16,1
+/+,F4,17,1
+/+,F4,17,1
+/+,F4,20,1
+/+,F4,27,1
+/+,F4,5,1
+/+,F4,4,1
+/+,F4,15,1
+/+,F4,11,1
+/+,F4,17,1
+/+,F4,15,1
+/+,F4,21,1
+/+,F4,18,1
+/+,F4,19,1
+/+,F4,21,1
+/+,F4,2,1
+/+,F4,2,1
+/+,F4,2,1
+/+,F4,9,1
+/+,F4,12,1
+/+,F4,14,1
+/+,F4,14,1
+/+,F4,16,1
+/+,F4,20,1
+/+,F4,19,1
+/+,F4,1,1
+/+,F4,7,1
+/+,F4,8,1
+/+,F4,11,1
+/+,F4,9,1
+/+,F4,11,1
+/+,F4,9,1
+/+,F4,14,1
+/+,F4,15,1
+/+,F4,28,1
+/+,F4,4,1
+/+,F4,11,1
+/+,F4,10,1
+/+,F4,14,1
+/+,F4,15,1
+/+,F4,16,1
+/+,F4,23,1
+/+,F4,24,1
+/+,F4,25,1
+/+,F4,29,1
+/+,F4,14,1
+/+,F4,15,1
